Origin,   Shake,    Average,    Moving,     IIR
16750744,  0,  0,  16750744,  16751228
16751410,  0,  0,  16751410,  16751223
16752440,  0,  16751457,  16752440,  16751244
16753918,  0,  16751457,  16753918,  16753918
16752080,  0,  16751457,  16752080,  16753889
16752383,  0,  16751457,  16752383,  16752383
16753111,  0,  16752873,  16753111,  16752394
16752968,  0,  16752873,  16752381,  16752414
16752715,  16752715,  16752873,  16752628,  16752427
16752614,  16752614,  16752873,  16752778,  16752434
16752136,  16752715,  16752608,  16752740,  16752432
16754091,  16752715,  16752608,  16752762,  16752453
16755143,  16752715,  16752608,  16753145,  16755143
16754709,  16752715,  16752608,  16753435,  16755136
16754338,  16752715,  16754570,  16753589,  16755116
16753983,  16752715,  16754570,  16753716,  16755086
16751497,  16752715,  16754570,  16753563,  16751497
16751671,  16752715,  16754570,  16753446,  16751499
16754292,  16752715,  16752860,  16753715,  16751545
16754185,  16754185,  16752860,  16753727,  16754185
16753643,  16753643,  16752860,  16753539,  16754176
16752897,  16752897,  16752860,  16753313,  16754147
16750647,  16750647,  16752843,  16752851,  16750647
16748852,  16748852,  16752843,  16752210,  16750618
16750985,  16750985,  16752843,  16752146,  16750596
16755060,  16755060,  16752843,  16752570,  16755060
16756931,  16756931,  16752957,  16752900,  16755089
16755741,  16755741,  16752957,  16753094,  16755127
16756153,  16756153,  16752957,  16753408,  16755152
16756406,  16756406,  16752957,  16753846,  16755187
16757012,  16757012,  16756328,  16754642,  16755234
16758071,  16758071,  16756328,  16755794,  16758071
16758307,  16758307,  16756328,  16756710,  16758074
16758818,  16758818,  16756328,  16757179,  16758089
16758140,  16758140,  16758334,  16757331,  16758101
16757677,  16757677,  16758334,  16757573,  16758094
16758137,  16758137,  16758334,  16757821,  16758088
16756932,  16756932,  16758334,  16757886,  16758070
16757375,  16757375,  16757530,  16757932,  16758041
16757634,  16757634,  16757530,  16757877,  16758024
16756237,  16756237,  16757530,  16757618,  16757989
16755504,  16755504,  16757530,  16757204,  16755504
16755959,  16755959,  16756333,  16756931,  16755511
16757103,  16757103,  16756333,  16756860,  16755542
16758468,  16758468,  16756333,  16756901,  16758468
16758371,  16758371,  16756333,  16757081,  16758466
16757972,  16758468,  16757978,  16757156,  16758456
16754727,  16758468,  16757978,  16756792,  16754727
16754470,  16758468,  16757978,  16756571,  16754722
16755139,  16758468,  16757978,  16756526,  16754724
16755540,  16758468,  16754969,  16756473,  16754743
16755691,  16758468,  16754969,  16756297,  16754770
16756001,  16758468,  16754969,  16755988,  16754803
16755255,  16758468,  16754969,  16755599,  16754828
16754877,  16758468,  16755456,  16755212,  16754835
16754050,  16754050,  16755456,  16755127,  16754823
16752805,  16752805,  16755456,  16754919,  16754779
16754481,  16754481,  16755456,  16754837,  16754743
16756270,  16756270,  16754401,  16754928,  16754762
16757446,  16757446,  16754401,  16755148,  16757446
16759401,  16759401,  16754401,  16755573,  16757476
16757392,  16757392,  16754401,  16755840,  16757504
16758783,  16758783,  16758255,  16756328,  16757522
16759469,  16759469,  16758255,  16757005,  16757572
16758826,  16758826,  16758255,  16757758,  16757621
16755913,  16755913,  16758255,  16757937,  16757613
16757901,  16757901,  16758027,  16758141,  16757590
16758253,  16758253,  16758027,  16758242,  16757605
16758121,  16758121,  16758027,  16758082,  16757623
16755686,  16758253,  16758027,  16757869,  16757600
16757929,  16758253,  16757497,  16757762,  16757575
16759826,  16758253,  16757497,  16757806,  16757615
16758716,  16758253,  16757497,  16757793,  16758716
16757571,  16758253,  16757497,  16758000,  16758698
16757005,  16758253,  16758279,  16757888,  16758653
16756900,  16758253,  16758279,  16757719,  16756900
16757427,  16758253,  16758279,  16757632,  16756908
16757090,  16758253,  16758279,  16757808,  16756918
16756822,  16756822,  16757059,  16757669,  16756919
16756256,  16756256,  16757059,  16757223,  16756907
16756633,  16756633,  16757059,  16756963,  16756892
16757568,  16757568,  16757059,  16756962,  16756898
16757332,  16757332,  16756947,  16757003,  16756915
16757509,  16757509,  16756947,  16757079,  16756930
16759276,  16757332,  16756947,  16757310,  16756975
16758636,  16757332,  16756947,  16757504,  16758636
16758804,  16757332,  16758556,  16757751,  16758638
16757940,  16757332,  16758556,  16757962,  16758629
16755737,  16757332,  16758556,  16757850,  16755737
16754729,  16757332,  16758556,  16757495,  16755721
16756515,  16757332,  16756230,  16757393,  16755717
16755906,  16757332,  16756230,  16757192,  16755732
16757034,  16757332,  16756230,  16756912,  16755755
16756926,  16756926,  16756230,  16756698,  16755793
16756673,  16756673,  16756634,  16756432,  16755824
