Origin,   Shake,    Average,    Moving,     IIR
7764,  7764,  7739,  7738,  7673
7765,  7765,  7739,  7742,  7675
7766,  7766,  7739,  7747,  7677
7767,  7767,  7765,  7752,  7679
7768,  7768,  7765,  7757,  7681
7769,  7769,  7765,  7761,  7683
7770,  7770,  7765,  7766,  7685
7771,  7771,  7769,  7767,  7687
7772,  7772,  7769,  7768,  7689
7773,  7773,  7769,  7769,  7691
7774,  7774,  7769,  7770,  7693
7775,  7775,  7773,  7771,  7695
7776,  7776,  7773,  7772,  7697
7777,  7777,  7773,  7773,  7699
7778,  7778,  7773,  7774,  7701
7779,  7779,  7777,  7775,  7703
7780,  7780,  7777,  7776,  7705
7781,  7781,  7777,  7777,  7707
7782,  7782,  7777,  7778,  7709
7783,  7783,  7781,  7779,  7711
7784,  7784,  7781,  7780,  7713
7785,  7785,  7781,  7781,  7715
7786,  7786,  7781,  7782,  7717
7787,  7787,  7785,  7783,  7719
7788,  7788,  7785,  7784,  7721
7789,  7789,  7785,  7785,  7723
7790,  7790,  7785,  7786,  7725
7791,  7791,  7789,  7787,  7727
7792,  7792,  7789,  7788,  7729
