Origin,   Shake,    Average,    Moving,     IIR
7898,  7651,  7865,  7864,  7795
7899,  7651,  7865,  7870,  7798
7900,  7651,  7865,  7876,  7801
7901,  7901,  7899,  7882,  7804
7902,  7902,  7899,  7888,  7807
7903,  7903,  7899,  7894,  7809
7904,  7904,  7899,  7900,  7811
7905,  7905,  7903,  7901,  7813
7906,  7906,  7903,  7902,  7815
7907,  7907,  7903,  7903,  7817
7908,  7908,  7903,  7904,  7819
7909,  7909,  7907,  7905,  7821
7910,  7910,  7907,  7906,  7823
7911,  7911,  7907,  7907,  7825
7912,  7912,  7907,  7908,  7827
7913,  7913,  7911,  7909,  7829
7914,  7914,  7911,  7910,  7831
7915,  7915,  7911,  7911,  7833
7916,  7916,  7911,  7912,  7835
7917,  7917,  7915,  7913,  7837
7918,  7918,  7915,  7914,  7839
7919,  7919,  7915,  7915,  7841
7920,  7920,  7915,  7916,  7843
7921,  7921,  7919,  7917,  7845
7922,  7922,  7919,  7918,  7847
7923,  7923,  7919,  7919,  7849
7924,  7924,  7919,  7920,  7851
7925,  7925,  7923,  7921,  7853
7926,  7926,  7923,  7922,  7855
7927,  7927,  7923,  7923,  7857
7928,  7928,  7923,  7924,  7859
7929,  7929,  7927,  7925,  7861
7930,  7930,  7927,  7926,  7863
7931,  7931,  7927,  7927,  7865
7932,  7932,  7927,  7928,  7867
7933,  7933,  7931,  7929,  7869
7934,  7934,  7931,  7930,  7871
7935,  7935,  7931,  7931,  7872
7936,  7936,  7931,  7932,  7873
7937,  7937,  7935,  7933,  7874
7938,  7938,  7935,  7934,  7875
7939,  7939,  7935,  7935,  7876
7940,  7940,  7935,  7936,  7877
7941,  7941,  7939,  7937,  7878
7942,  7942,  7939,  7938,  7879
7943,  7943,  7939,  7939,  7880
7944,  7944,  7939,  7940,  7881
7945,  7945,  7943,  7941,  7882
7946,  7946,  7943,  7942,  7883
