Origin,   Shake,    Average,    Moving,     IIR
16771270,  0,  0,  16771270,  16769828
16767916,  0,  0,  16767916,  16769820
16765821,  0,  16768703,  16765821,  16765821
16767681,  0,  16768703,  16767681,  16765850
16767409,  0,  16768703,  16767409,  16767409
16766975,  0,  16768703,  16766975,  16767402
16768613,  0,  16767669,  16768613,  16767414
16770369,  0,  16767669,  16768256,  16770369
16770162,  16770162,  16767669,  16768118,  16770365
16767743,  16767743,  16767669,  16768096,  16770320
16767569,  16767569,  16768960,  16768315,  16767569
16766231,  16767743,  16768960,  16768133,  16767548
16767139,  16767743,  16768960,  16768100,  16767521
16767200,  16767743,  16768960,  16768128,  16767510
16767576,  16767576,  16767036,  16767998,  16767506
16766925,  16767743,  16767036,  16767568,  16767498
16766634,  16767743,  16767036,  16767127,  16767475
16768478,  16767743,  16767036,  16767219,  16767477
16769520,  16767743,  16767889,  16767462,  16767524
16770902,  16767743,  16767889,  16768046,  16770902
16770256,  16767743,  16767889,  16768436,  16770891
16769118,  16767743,  16767889,  16768676,  16770853
16770496,  16767743,  16770193,  16769041,  16770820
16771082,  16767743,  16770193,  16769560,  16770819
16769689,  16769689,  16770193,  16769942,  16770805
16771226,  16771226,  16770193,  16770286,  16770794
16771760,  16771760,  16770939,  16770566,  16770815
16770352,  16770352,  16770939,  16770497,  16770822
16769891,  16769891,  16770939,  16770451,  16770800
16769556,  16769556,  16770939,  16770506,  16770766
16771377,  16771377,  16770294,  16770616,  16770756
16771490,  16771490,  16770294,  16770667,  16770777
16771767,  16771377,  16770294,  16770927,  16770803
16769260,  16771377,  16770294,  16770681,  16770793
16770170,  16771377,  16770671,  16770482,  16770759
16770611,  16771377,  16770671,  16770515,  16770747
16772003,  16771377,  16770671,  16770779,  16770764
16772289,  16771377,  16770671,  16771120,  16770807
16772894,  16771377,  16771949,  16771310,  16772894
16771428,  16771428,  16771949,  16771302,  16772871
16773204,  16771377,  16771949,  16771482,  16772853
16774722,  16771377,  16771949,  16772165,  16772887
16773303,  16771377,  16773164,  16772556,  16772922
16772504,  16771377,  16773164,  16772793,  16772921
16771754,  16771377,  16773164,  16772762,  16772896
16773172,  16771377,  16773164,  16772872,  16772882
16773876,  16771377,  16772826,  16772995,  16772902
16773880,  16771377,  16772826,  16773301,  16772932
16774767,  16771377,  16772826,  16773497,  16772975
16773439,  16773439,  16772826,  16773336,  16773010
16770365,  16770365,  16773112,  16772969,  16772975
16770157,  16770157,  16773112,  16772676,  16770157
16770093,  16770093,  16773112,  16772468,  16770156
16769692,  16770157,  16773112,  16772033,  16770147
16769351,  16770157,  16769823,  16771468,  16770127
16770166,  16770166,  16769823,  16771003,  16770115
16772168,  16770157,  16769823,  16770678,  16770147
16773374,  16770157,  16769823,  16770670,  16773374
16771738,  16770157,  16771861,  16770842,  16773348
16771863,  16770157,  16771861,  16771055,  16773299
16773278,  16770157,  16771861,  16771453,  16773276
16772645,  16770157,  16771861,  16771822,  16773266
16771283,  16770157,  16772267,  16772064,  16773225
16771967,  16770157,  16772267,  16772289,  16773175
16771034,  16770157,  16772267,  16772147,  16771034
16769894,  16769894,  16772267,  16771712,  16771016
16770944,  16770944,  16770959,  16771613,  16770997
16770592,  16770592,  16770959,  16771454,  16770989
16769761,  16769761,  16770959,  16771015,  16770963
16770301,  16770301,  16770959,  16770722,  16770933
16770671,  16770671,  16770331,  16770645,  16770919
16769855,  16769855,  16770331,  16770381,  16770898
16769129,  16769129,  16770331,  16770143,  16770854
16768752,  16768752,  16770331,  16770000,  16768752
16766013,  16766013,  16768437,  16769384,  16768709
16764910,  16764910,  16768437,  16768674,  16764910
16764809,  16764809,  16768437,  16768055,  16764908
16763542,  16764910,  16768437,  16767210,  16764885
16765741,  16764910,  16764750,  16766593,  16764877
16765926,  16764910,  16764750,  16766102,  16764906
16767459,  16764910,  16764750,  16765894,  16767459
16767478,  16764910,  16764750,  16765734,  16767459
16766202,  16764910,  16766766,  16765758,  16767439
16765484,  16764910,  16766766,  16765830,  16767389
16765639,  16764910,  16766766,  16765933,  16765639
16767487,  16764910,  16766766,  16766427,  16765667
16768835,  16768835,  16766861,  16766813,  16768835
16769281,  16769281,  16766861,  16767233,  16768841
16767370,  16767370,  16766861,  16767222,  16768824
16764832,  16764832,  16766861,  16766891,  16764832
16765127,  16765127,  16766652,  16766756,  16764836
16765588,  16765588,  16766652,  16766769,  16764852
16764555,  16764555,  16766652,  16766634,  16764858
16766403,  16766403,  16766652,  16766498,  16764877
16767407,  16767407,  16765988,  16766320,  16767407
16766798,  16766798,  16765988,  16766010,  16767397
16766194,  16766194,  16765988,  16765863,  16767368
16764348,  16764348,  16765988,  16765802,  16764348
16765528,  16765528,  16765717,  16765852,  16764366
16767599,  16767599,  16765717,  16766104,  16767599
16768484,  16768484,  16765717,  16766595,  16767612
16768380,  16768380,  16765717,  16766842,  16767637
16768948,  16768484,  16768352,  16767034,  16767669
16769304,  16768484,  16768352,  16767348,  16767714
16769036,  16768484,  16768352,  16767703,  16767759
16764483,  16768484,  16768352,  16767720,  16767727
16762795,  16768484,  16766404,  16767378,  16762795
16765653,  16768484,  16766404,  16767135,  16762839
16765022,  16768484,  16766404,  16766702,  16765022
16764049,  16768484,  16766404,  16766161,  16765006
16763378,  16768484,  16764525,  16765465,  16764965
16764385,  16764385,  16764525,  16764850,  16764931
16764181,  16764181,  16764525,  16764243,  16764910
16764255,  16764255,  16764525,  16764214,  16764888
16764273,  16764273,  16764273,  16764399,  16764868
16765434,  16764181,  16764273,  16764372,  16764867
16765871,  16764181,  16764273,  16764478,  16764891
16765326,  16764181,  16764273,  16764637,  16764913
16765004,  16764181,  16765408,  16764841,  16764920
16764892,  16764181,  16765408,  16764904,  16764920
16765976,  16764181,  16765408,  16765128,  16764936
16765339,  16764181,  16765408,  16765264,  16764958
16765154,  16764181,  16765340,  16765374,  16764967
16765009,  16764181,  16765340,  16765321,  16764970
16765626,  16765626,  16765340,  16765290,  16764980
16766203,  16766203,  16765340,  16765400,  16765009
16764946,  16764946,  16765446,  16765393,  16765026
16764299,  16764299,  16765446,  16765319,  16765013
16764686,  16764686,  16765446,  16765157,  16764996
16763959,  16763959,  16765446,  16764985,  16764974
16764547,  16764547,  16764372,  16764909,  16764951
16766138,  16766138,  16764372,  16765050,  16764963
16767192,  16767192,  16764372,  16765246,  16767192
16766848,  16766848,  16764372,  16765326,  16767186
16767280,  16767280,  16766864,  16765618,  16767182
16768309,  16768309,  16766864,  16766119,  16767201
16767134,  16767134,  16766864,  16766425,  16767217
16767113,  16767113,  16766864,  16766820,  16767214
16768352,  16767134,  16767727,  16767295,  16767230
16768009,  16767134,  16767727,  16767529,  16767259
16766302,  16767134,  16767727,  16767418,  16767255
16767882,  16767134,  16767727,  16767547,  16767249
16770273,  16767134,  16768116,  16767921,  16770273
16768691,  16767134,  16768116,  16767969,  16770248
16767823,  16767134,  16768116,  16768055,  16767823
16766994,  16766994,  16768116,  16768040,  16767810
16766627,  16767134,  16767533,  16767825,  16767778
16766366,  16767134,  16767533,  16767619,  16767737
16765970,  16767134,  16767533,  16767578,  16767687
16768472,  16767134,  16767533,  16767652,  16767672
16771397,  16767134,  16768051,  16767792,  16771397
16769174,  16767134,  16768051,  16767852,  16771362
16769413,  16767134,  16768051,  16768051,  16769413
16769492,  16767134,  16768051,  16768363,  16769414
16767304,  16767304,  16768845,  16768448,  16769382
16765867,  16767134,  16768845,  16768386,  16765867
16766259,  16767134,  16768845,  16768422,  16765873
16766011,  16767134,  16768845,  16768114,  16765881
16766741,  16767134,  16766219,  16767532,  16765896
16767428,  16767134,  16766219,  16767314,  16765933
16765412,  16767134,  16766219,  16766814,  16765948
16765288,  16767134,  16766219,  16766288,  16765929
16766289,  16767134,  16766104,  16766161,  16765924
16766706,  16767134,  16766104,  16766266,  16765941
16766796,  16766796,  16766104,  16766333,  16765966
16766214,  16766214,  16766104,  16766359,  16765982
16767501,  16767501,  16766804,  16766454,  16766009
16766480,  16766480,  16766804,  16766335,  16766039
16765953,  16765953,  16766804,  16766403,  16766044
16766677,  16766677,  16766804,  16766577,  16766052
16768972,  16768972,  16767020,  16766912,  16768972
16767427,  16767427,  16767020,  16767002,  16768947
16766599,  16766599,  16767020,  16766977,  16766599
16766525,  16766525,  16767020,  16767016,  16766597
16766186,  16766599,  16766684,  16766852,  16766589
16764861,  16766599,  16766684,  16766650,  16766555
16765804,  16766599,  16766684,  16766631,  16766516
16766323,  16766599,  16766684,  16766587,  16766501
16766799,  16766799,  16765946,  16766315,  16766502
16765464,  16766599,  16765946,  16766070,  16766490
16764399,  16766599,  16765946,  16765795,  16766441
16763979,  16766599,  16765946,  16765476,  16763979
16765055,  16766599,  16764724,  16765335,  16763995
16766198,  16766599,  16764724,  16765502,  16764045
16765734,  16766599,  16764724,  16765493,  16765734
16766877,  16766599,  16764724,  16765563,  16765751
16768488,  16766599,  16766824,  16765774,  16768488
16769473,  16766599,  16766824,  16766275,  16768503
16769889,  16769889,  16766824,  16766961,  16768539
16769570,  16769570,  16766824,  16767660,  16768576
16770509,  16770509,  16769860,  16768342,  16768621
16768691,  16768691,  16769860,  16768653,  16768651
16767713,  16767713,  16769860,  16768901,  16768636
16768494,  16768494,  16769860,  16769103,  16768619
16767481,  16767481,  16768094,  16768977,  16768599
16768075,  16768075,  16768094,  16768802,  16768573
16768657,  16768657,  16768094,  16768648,  16768566
16766499,  16766499,  16768094,  16768264,  16768535
16766933,  16766933,  16767541,  16767817,  16766933
16766279,  16766279,  16767541,  16767516,  16766922
16766063,  16766063,  16767541,  16767310,  16766898
16766527,  16766527,  16767541,  16767064,  16766879
16765894,  16765894,  16766190,  16766865,  16766858
16765396,  16765396,  16766190,  16766531,  16766820
16765228,  16765228,  16766190,  16766102,  16766772
16765126,  16765396,  16766190,  16765930,  16766722
16764592,  16765396,  16765085,  16765638,  16764592
16765514,  16765514,  16765085,  16765542,  16764606
16766003,  16765396,  16765085,  16765535,  16764642
16766711,  16765396,  16765085,  16765558,  16766711
16766271,  16765396,  16766124,  16765605,  16766704
16766661,  16765396,  16766124,  16765763,  16766696
16766089,  16765396,  16766124,  16765870,  16766685
16765175,  16765396,  16766124,  16765877,  16766652
16763467,  16765396,  16765348,  16765736,  16763467
16763310,  16765396,  16765348,  16765460,  16763464
16765803,  16765396,  16765348,  16765435,  16763498
16767149,  16767149,  16765348,  16765490,  16767149
16767187,  16767187,  16765862,  16765605,  16767149
16766832,  16767149,  16765862,  16765626,  16767144
16767817,  16767149,  16765862,  16765842,  16767149
16770267,  16767149,  16765862,  16766479,  16770267
16769148,  16767149,  16768516,  16767189,  16770249
16767956,  16767149,  16768516,  16767769,  16767956
16766690,  16767149,  16768516,  16767880,  16767936
16767731,  16767149,  16768516,  16767953,  16767913
16767514,  16767149,  16767472,  16767994,  16767903
16766028,  16767149,  16767472,  16767893,  16767867
16765498,  16765498,  16767472,  16767604,  16765498
16765352,  16765352,  16767472,  16766989,  16765495
16765752,  16765498,  16765657,  16766565,  16765496
16766368,  16765498,  16765657,  16766366,  16765513
16764396,  16765498,  16765657,  16766079,  16765508
16763416,  16765498,  16765657,  16765540,  16763416
16764181,  16765498,  16764590,  16765123,  16763427
16767017,  16765498,  16764590,  16765247,  16767017
16770084,  16765498,  16764590,  16765820,  16767064
16771228,  16765498,  16764590,  16766555,  16771228
16770539,  16765498,  16769717,  16767153,  16771217
16771427,  16771427,  16769717,  16767786,  16771209
16770039,  16770039,  16769717,  16768491,  16771194
16768931,  16768931,  16769717,  16769180,  16768931
16767111,  16767111,  16769377,  16769547,  16768902
16767306,  16767306,  16769377,  16769583,  16767306
16769468,  16767111,  16769377,  16769506,  16767339
16770116,  16767111,  16769377,  16769367,  16770116
16770406,  16767111,  16769324,  16769350,  16770120
16770367,  16767111,  16769324,  16769218,  16770128
16770073,  16767111,  16769324,  16769222,  16770130
16768574,  16767111,  16769324,  16769177,  16770104
16769483,  16767111,  16769624,  16769474,  16770070
16771266,  16767111,  16769624,  16769969,  16770079
16769692,  16767111,  16769624,  16769997,  16770091
16767967,  16767967,  16769624,  16769728,  16770051
16767193,  16767193,  16769029,  16769326,  16767193
16769808,  16769808,  16769029,  16769257,  16767233
16772666,  16772666,  16769029,  16769581,  16772666
16771264,  16771264,  16769029,  16769917,  16772644
16770262,  16770262,  16771000,  16770014,  16770262
16769724,  16769724,  16771000,  16769822,  16770253
16770877,  16770877,  16771000,  16769970,  16770254
16770681,  16770681,  16771000,  16770309,  16770270
16769524,  16770877,  16770201,  16770600,  16770264
16769606,  16770877,  16770201,  16770575,  16770242
16769849,  16770877,  16770201,  16770223,  16770225
16769128,  16770877,  16770201,  16769956,  16770201
16768384,  16770877,  16769241,  16769721,  16770155
16768979,  16770877,  16769241,  16769628,  16770108
16770565,  16770877,  16769241,  16769589,  16770097
16771314,  16770877,  16769241,  16769668,  16770123
16772094,  16770877,  16770738,  16769989,  16770172
16771965,  16771965,  16770738,  16770284,  16771965
16773107,  16773107,  16770738,  16770692,  16771982
16772005,  16772005,  16770738,  16771051,  16771999
16772752,  16772752,  16772457,  16771597,  16772010
16771667,  16771667,  16772457,  16771933,  16772016
16769225,  16769225,  16772457,  16771766,  16771966
16768519,  16768519,  16772457,  16771416,  16768519
16770627,  16770627,  16770009,  16771233,  16768551
16769976,  16769976,  16770009,  16770984,  16769976
16770121,  16770121,  16770009,  16770611,  16769978
16772197,  16769976,  16770009,  16770635,  16770014
16771173,  16769976,  16770866,  16770438,  16771173
16772113,  16769976,  16770866,  16770493,  16771187
16772470,  16769976,  16770866,  16770899,  16771221
16772140,  16769976,  16770866,  16771352,  16771254
16772231,  16769976,  16772238,  16771552,  16771283
16772377,  16769976,  16772238,  16771852,  16771314
16773036,  16769976,  16772238,  16772217,  16771357
16774706,  16769976,  16772238,  16772530,  16774706
16774806,  16774806,  16773731,  16772984,  16774707
16773608,  16773608,  16773731,  16773171,  16774691
16773161,  16773161,  16773731,  16773258,  16774650
16772671,  16772671,  16773731,  16773324,  16772671
16772059,  16772059,  16772874,  16773303,  16772661
16772069,  16772069,  16772874,  16773264,  16772642
16771518,  16772059,  16772874,  16773074,  16772615
16772255,  16772255,  16772874,  16772768,  16772592
16771514,  16772059,  16771839,  16772356,  16772569
16770198,  16772059,  16771839,  16771930,  16770198
16768425,  16772059,  16771839,  16771338,  16770170
16769365,  16772059,  16771839,  16770925,  16770130
16769385,  16772059,  16769343,  16770591,  16770106
16770020,  16772059,  16769343,  16770335,  16770093
16770698,  16772059,  16769343,  16770232,  16770101
16770269,  16772059,  16769343,  16769984,  16770112
16769651,  16772059,  16770159,  16769751,  16770107
16771731,  16771731,  16770159,  16769943,  16770125
16771732,  16771732,  16770159,  16770356,  16770175
16771475,  16771731,  16770159,  16770620,  16770219
16772294,  16771731,  16771808,  16770983,  16772294
16771411,  16771731,  16771808,  16771157,  16772280
16771785,  16771785,  16771808,  16771293,  16772258
16771733,  16771733,  16771808,  16771476,  16772242
16772684,  16771731,  16771903,  16771855,  16772240
16772071,  16771731,  16771903,  16771898,  16772244
16771423,  16771731,  16771903,  16771859,  16772228
16771277,  16771731,  16771903,  16771834,  16772200
16770709,  16771731,  16771370,  16771636,  16772162
16771018,  16771731,  16771370,  16771587,  16772121
16770986,  16771731,  16771370,  16771487,  16772086
16771532,  16771532,  16771370,  16771462,  16772060
16771709,  16771709,  16771311,  16771340,  16772046
16770305,  16771731,  16771311,  16771119,  16772013
16770985,  16771731,  16771311,  16771065,  16771970
16772018,  16771731,  16771311,  16771157,  16771955
16770988,  16771731,  16771074,  16771192,  16771940
16770572,  16771731,  16771074,  16771136,  16771903
16770728,  16771731,  16771074,  16771104,  16771863
16771978,  16771731,  16771074,  16771160,  16771847
16772024,  16771731,  16771325,  16771199,  16771851
16772527,  16771731,  16771325,  16771477,  16771864
16769566,  16769566,  16771325,  16771300,  16771838
16768674,  16768674,  16771325,  16770882,  16768674
16768258,  16768258,  16769756,  16770540,  16768667
16769735,  16769735,  16769756,  16770436,  16768677
16768572,  16768572,  16769756,  16770166,  16768691
16768037,  16768037,  16769756,  16769674,  16768678
16767052,  16767052,  16768349,  16769052,  16768642
16766284,  16766284,  16768349,  16768272,  16766284
16765183,  16765183,  16768349,  16767724,  16766266
16764946,  16764946,  16768349,  16767258,  16766228
16765026,  16765026,  16765359,  16766854,  16766189
16765382,  16764946,  16765359,  16766310,  16766158
16766650,  16764946,  16765359,  16766070,  16766153
16766344,  16764946,  16765359,  16765858,  16766163
16768066,  16764946,  16766610,  16765985,  16766195
16768492,  16764946,  16766610,  16766261,  16768492
16768442,  16764946,  16766610,  16766668,  16768491
16768692,  16764946,  16766610,  16767136,  16768493
16769472,  16764946,  16768774,  16767692,  16768511
16769800,  16764946,  16768774,  16768244,  16768546
16768423,  16768423,  16768774,  16768466,  16768563
16769172,  16769172,  16768774,  16768819,  16768570
16770552,  16770552,  16769486,  16769130,  16768610
16769264,  16769264,  16769486,  16769227,  16768650
16769139,  16769139,  16769486,  16769314,  16768667
16769423,  16769423,  16769486,  16769405,  16768686
16768675,  16769264,  16769125,  16769306,  16768697
16770961,  16769264,  16769125,  16769451,  16768732
16771029,  16769264,  16769125,  16769776,  16771029
16772213,  16769264,  16769125,  16770157,  16771047
16770514,  16769264,  16771179,  16770152,  16771056
16770471,  16769264,  16771179,  16770303,  16771038
16770753,  16769264,  16771179,  16770504,  16771024
16770238,  16769264,  16771179,  16770606,  16771007
16768742,  16769264,  16770051,  16770615,  16770959
16769567,  16769567,  16770051,  16770440,  16769567
16769249,  16769249,  16770051,  16770218,  16769562
16768770,  16768770,  16770051,  16769788,  16769544
16769964,  16769964,  16769387,  16769719,  16769538
16769426,  16769426,  16769387,  16769588,  16769542
16769622,  16769622,  16769387,  16769447,  16769541
16770150,  16769426,  16769387,  16769436,  16769551
16770719,  16769426,  16769979,  16769683,  16769578
16770222,  16769426,  16769979,  16769765,  16769605
16769320,  16769320,  16769979,  16769774,  16769610
16770495,  16769426,  16769979,  16769989,  16769619
16770516,  16769426,  16770138,  16770058,  16769646
16769033,  16769426,  16770138,  16770009,  16769650
16767393,  16769426,  16770138,  16769731,  16769605
16767482,  16769426,  16770138,  16769397,  16767482
16769333,  16769333,  16768310,  16769224,  16767510
16769275,  16769275,  16768310,  16769105,  16769275
16769888,  16769426,  16768310,  16769176,  16769284
16768911,  16769426,  16768310,  16768978,  16769287
16766007,  16769426,  16768520,  16768415,  16766007
16766553,  16769426,  16768520,  16768105,  16766015
16767984,  16769426,  16768520,  16768179,  16766054
16766554,  16769426,  16768520,  16768063,  16766091
16767953,  16769426,  16767261,  16767890,  16766127
16768973,  16769426,  16767261,  16767852,  16768973
16768596,  16769426,  16767261,  16767691,  16768967
16767921,  16767921,  16767261,  16767567,  16768944
16768361,  16768361,  16768462,  16767861,  16768918
16768608,  16768608,  16768462,  16768118,  16768904
16768659,  16768659,  16768462,  16768203,  16768895
16770152,  16768608,  16768462,  16768652,  16768910
16769282,  16768608,  16769175,  16768819,  16768935
16768193,  16768608,  16769175,  16768721,  16768928
16769298,  16768608,  16769175,  16768809,  16768922
16769090,  16768608,  16769175,  16768955,  16768930
16768644,  16768644,  16768806,  16768990,  16768928
16769658,  16768608,  16768806,  16769122,  16768934
16768892,  16768608,  16768806,  16769151,  16768944
16766924,  16768608,  16768806,  16768747,  16768911
16766698,  16768608,  16768043,  16768424,  16766698
16767068,  16768608,  16768043,  16768284,  16766703
16766988,  16768608,  16768043,  16767995,  16766713
16765337,  16768608,  16768043,  16767526,  16766695
16764166,  16768608,  16765889,  16766966,  16764166
16763735,  16768608,  16765889,  16766226,  16764159
16764397,  16764397,  16765889,  16765664,  16764156
16765590,  16765590,  16765889,  16765497,  16764182
16766030,  16766030,  16764938,  16765413,  16764232
16767161,  16767161,  16764938,  16765425,  16767161
16765638,  16765638,  16764938,  16765256,  16767137
16766697,  16766697,  16764938,  16765426,  16767106
16767470,  16767470,  16766741,  16765839,  16767105
16766811,  16766811,  16766741,  16766224,  16767106
16767582,  16767582,  16766741,  16766622,  16767108
16767599,  16767599,  16766741,  16766873,  16767123
16767349,  16767582,  16767335,  16767038,  16767133
16767337,  16767582,  16767335,  16767060,  16767139
16766919,  16767582,  16767335,  16767220,  16767138
16766522,  16767582,  16767335,  16767198,  16767124
16766842,  16767582,  16766905,  16767120,  16767110
16766853,  16767582,  16766905,  16767125,  16767101
16765601,  16767582,  16766905,  16766877,  16767073
16767144,  16767582,  16766905,  16766820,  16767051
16765993,  16767582,  16766397,  16766651,  16767035
16765354,  16765354,  16766397,  16766403,  16766992
