Origin,   Shake,    Average,    Moving,     IIR
7989,  7989,  7943,  7954,  7888
7990,  7990,  7978,  7960,  7891
7991,  7991,  7978,  7967,  7894
7992,  7992,  7978,  7973,  7897
7993,  7993,  7978,  7979,  7899
7994,  7994,  7992,  7985,  7901
7995,  7995,  7992,  7991,  7903
7996,  7996,  7992,  7992,  7905
7997,  7997,  7992,  7993,  7907
7998,  7998,  7996,  7994,  7909
7999,  7999,  7996,  7995,  7911
8000,  8000,  7996,  7996,  7913
8001,  8001,  7996,  7997,  7915
8002,  8002,  8000,  7998,  7917
8003,  8003,  8000,  7999,  7919
8004,  8004,  8000,  8000,  7921
8005,  8005,  8000,  8001,  7923
8006,  8006,  8004,  8002,  7925
8007,  8007,  8004,  8003,  7927
8008,  8008,  8004,  8004,  7929
8009,  8009,  8004,  8005,  7931
8010,  8010,  8008,  8006,  7933
8011,  8011,  8008,  8007,  7935
8012,  8012,  8008,  8008,  7937
8013,  8013,  8008,  8009,  7939
8014,  8014,  8012,  8010,  7941
8015,  8015,  8012,  8011,  7943
8016,  8016,  8012,  8012,  7945
8017,  8017,  8012,  8013,  7947
8018,  8018,  8016,  8014,  7949
8019,  8019,  8016,  8015,  7951
8020,  8020,  8016,  8016,  7953
8021,  8021,  8016,  8017,  7955
8022,  8022,  8020,  8018,  7957
8023,  8023,  8020,  8019,  7959
8024,  8024,  8020,  8020,  7961
8025,  8025,  8020,  8021,  7962
8026,  8026,  8024,  8022,  7963
8027,  8027,  8024,  8023,  7964
8028,  8028,  8024,  8024,  7965
8029,  8029,  8024,  8025,  7966
8030,  8030,  8028,  8026,  7967
8031,  8031,  8028,  8027,  7968
8032,  8032,  8028,  8028,  7969
8033,  8033,  8028,  8029,  7970
8034,  8034,  8032,  8030,  7971
8035,  8035,  8032,  8031,  7972
8036,  8036,  8032,  8032,  7973
