Origin,   Shake,    Average,    Moving,     IIR
47,  47,  0,  47,  1
48,  48,  0,  48,  2
49,  49,  47,  49,  3
50,  50,  47,  50,  4
51,  51,  47,  51,  5
52,  52,  47,  52,  6
53,  53,  51,  53,  7
54,  54,  51,  50,  8
55,  55,  51,  51,  9
56,  56,  51,  52,  10
57,  57,  55,  53,  11
58,  58,  55,  54,  12
59,  59,  55,  55,  13
60,  60,  55,  56,  14
61,  61,  59,  57,  15
62,  62,  59,  58,  16
63,  63,  59,  59,  17
64,  64,  59,  60,  18
65,  65,  63,  61,  19
66,  66,  63,  62,  20
67,  67,  63,  63,  21
68,  68,  63,  64,  22
81,  81,  70,  67,  23
82,  82,  70,  69,  24
83,  83,  70,  72,  25
84,  84,  70,  74,  26
85,  85,  83,  77,  27
86,  86,  83,  79,  28
87,  87,  83,  82,  29
88,  88,  83,  84,  30
89,  89,  87,  85,  31
90,  90,  87,  86,  32
91,  91,  87,  87,  33
101,  101,  87,  89,  34
102,  102,  96,  91,  36
103,  103,  96,  93,  38
104,  104,  96,  96,  40
105,  105,  96,  98,  42
106,  106,  104,  100,  43
107,  107,  104,  102,  44
108,  108,  104,  104,  45
109,  109,  104,  105,  46
110,  110,  108,  106,  47
111,  111,  108,  107,  48
112,  112,  108,  108,  49
