Origin,   Shake,    Average,    Moving,     IIR
113,  113,  0,  113,  4
114,  114,  0,  114,  7
115,  115,  113,  115,  10
116,  116,  113,  116,  13
117,  117,  113,  117,  16
118,  118,  113,  118,  19
119,  119,  117,  119,  22
120,  120,  117,  116,  25
121,  121,  117,  117,  27
122,  122,  117,  118,  29
123,  123,  121,  119,  31
124,  124,  121,  120,  33
125,  125,  121,  121,  35
126,  126,  121,  122,  37
127,  127,  125,  123,  39
128,  128,  125,  124,  41
129,  129,  125,  125,  43
130,  130,  125,  126,  45
131,  131,  129,  127,  47
132,  132,  129,  128,  49
133,  133,  129,  129,  51
134,  134,  129,  130,  53
135,  135,  133,  131,  55
136,  136,  133,  132,  57
137,  137,  133,  133,  59
138,  138,  133,  134,  61
139,  139,  137,  135,  63
140,  140,  137,  136,  65
141,  141,  137,  137,  67
142,  142,  137,  138,  69
143,  143,  141,  139,  71
144,  144,  141,  140,  73
145,  145,  141,  141,  75
146,  146,  141,  142,  77
147,  147,  145,  143,  79
37,  37,  145,  130,  79
37,  37,  145,  117,  77
37,  37,  145,  104,  75
37,  37,  37,  91,  73
38,  38,  37,  78,  71
38,  38,  37,  64,  69
38,  38,  37,  51,  68
38,  38,  38,  37,  67
39,  39,  38,  37,  66
39,  39,  38,  38,  65
39,  39,  38,  38,  64
39,  39,  39,  38,  63
40,  40,  39,  38,  62
40,  40,  39,  39,  61
40,  40,  39,  39,  60
40,  40,  40,  39,  59
41,  41,  40,  39,  58
41,  41,  40,  40,  57
41,  41,  40,  40,  56
41,  41,  41,  40,  55
42,  42,  41,  40,  54
42,  42,  41,  41,  53
42,  42,  41,  41,  52
42,  42,  42,  41,  51
43,  43,  42,  41,  50
43,  43,  42,  42,  49
43,  43,  42,  42,  48
43,  43,  43,  42,  47
44,  44,  43,  42,  46
44,  44,  43,  43,  45
44,  44,  43,  43,  44
44,  44,  44,  43,  44
45,  45,  44,  43,  44
45,  45,  44,  44,  44
45,  45,  44,  44,  44
45,  45,  45,  44,  44
46,  46,  45,  44,  44
46,  46,  45,  45,  44
46,  46,  45,  45,  44
46,  46,  46,  45,  44
47,  47,  46,  45,  44
47,  47,  46,  46,  44
47,  47,  46,  46,  44
47,  47,  47,  46,  44
48,  48,  47,  46,  44
48,  48,  47,  47,  44
48,  48,  47,  47,  44
48,  48,  48,  47,  44
49,  49,  48,  47,  44
49,  49,  48,  48,  44
49,  49,  48,  48,  44
49,  49,  49,  48,  44
50,  50,  49,  48,  44
50,  50,  49,  49,  44
50,  50,  49,  49,  44
50,  50,  50,  49,  44
51,  51,  50,  49,  44
51,  51,  50,  50,  44
51,  51,  50,  50,  44
51,  51,  51,  50,  44
52,  52,  51,  50,  44
52,  52,  51,  51,  44
52,  52,  51,  51,  44
