Origin,   Shake,    Average,    Moving,     IIR
7828,  7828,  7789,  7799,  7734
7829,  7829,  7819,  7804,  7736
7830,  7830,  7819,  7809,  7738
7831,  7831,  7819,  7814,  7740
7832,  7832,  7819,  7820,  7742
7833,  7833,  7831,  7825,  7744
7834,  7834,  7831,  7830,  7746
7835,  7835,  7831,  7831,  7748
7836,  7836,  7831,  7832,  7750
7837,  7837,  7835,  7833,  7752
7838,  7838,  7835,  7834,  7754
7839,  7839,  7835,  7835,  7756
7840,  7840,  7835,  7836,  7758
7841,  7841,  7839,  7837,  7760
7842,  7842,  7839,  7838,  7762
7843,  7843,  7839,  7839,  7764
7844,  7844,  7839,  7840,  7766
7845,  7845,  7843,  7841,  7768
7846,  7846,  7843,  7842,  7770
7847,  7847,  7843,  7843,  7772
7848,  7848,  7843,  7844,  7774
7849,  7849,  7847,  7845,  7776
7850,  7850,  7847,  7846,  7778
7851,  7851,  7847,  7847,  7780
7852,  7651,  7847,  7848,  7782
7853,  7651,  7851,  7849,  7784
7854,  7651,  7851,  7850,  7786
7855,  7651,  7851,  7851,  7788
7856,  7651,  7851,  7852,  7790
